id,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,label
39,Taxpayers are paying a fortune for the use of Air Force One on the campaign trail by President Obama and Crooked Hillary. A total disgrace!,FALSE,38366,NA,7/5/2016 11:14,FALSE,NA,750287000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,14770,FALSE,FALSE,NA,NA,1
40,"On @FoxNews at 7:00 P.M. ""Special: Meet the Trumps"" Hope you enjoy!",FALSE,12967,NA,7/4/2016 22:59,FALSE,NA,750102000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,2986,FALSE,FALSE,NA,NA,1
41,Why is President Obama allowed to use Air Force One on the campaign trail with Crooked Hillary? She is flying with him tomorrow. Who pays?,FALSE,56100,NA,7/4/2016 22:30,FALSE,NA,750094000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,22198,FALSE,FALSE,NA,NA,1
42,With Hillary and Obama; the terrorist attacks will only get worse. Politically correct fools; won't even call it what it is - RADICAL ISLAM!,FALSE,33046,NA,7/4/2016 15:34,FALSE,NA,749990000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,12400,FALSE,FALSE,NA,NA,1
43,"Crooked Hillary Clinton is ""guilty as hell"" but the system is totally rigged and corrupt! Where are the 33;000 missing e-mails?",FALSE,28884,NA,7/4/2016 15:26,FALSE,NA,749988000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,10890,FALSE,FALSE,NA,NA,1
44,The only people who are not interested in being the V.P. pick are the people who have not been asked!,FALSE,17595,NA,7/4/2016 14:25,FALSE,NA,749972000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,4836,FALSE,FALSE,NA,NA,1
45,I look forward to meeting @joniernst today in New Jersey. She has done a great job as Senator of Iowa!,FALSE,12798,NA,7/4/2016 14:19,FALSE,NA,749971000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,3282,FALSE,FALSE,NA,NA,1
46,Spent time with Indiana Governor Mike Pence and family yesterday. Very impressed; great people!,FALSE,14142,NA,7/4/2016 14:11,FALSE,NA,749969000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,3472,FALSE,FALSE,NA,NA,1
47,Senator Tom Cotton was great on Meet the Press yesterday. Despite a totally one-sided interview by Chuck Todd; the end result was solid!,FALSE,13914,NA,7/4/2016 13:56,FALSE,NA,749965000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,3498,FALSE,FALSE,NA,NA,1
48,Dishonest media is trying their absolute best to depict a star in a tweet as the Star of David rather than a Sheriff's Star; or plain star!,FALSE,24679,NA,7/4/2016 13:42,FALSE,NA,749962000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,7515,FALSE,FALSE,NA,NA,1
49,Only a fool would believe that the meeting between Bill Clinton and the U.S.A.G. was not arranged or that Crooked Hillary did not know.,FALSE,27366,NA,7/3/2016 20:16,FALSE,NA,749698000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,9532,FALSE,FALSE,NA,NA,1
50,Just watched @meetthepress and how totally biased against me Chuck Todd; and the entire show; is against me.The good news-the people get it!,FALSE,20268,NA,7/3/2016 17:40,FALSE,NA,749659000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5891,FALSE,FALSE,NA,NA,1
51,It was just announced-by sources-that no charges will be brought against Crooked Hillary Clinton. Like I said; the system is totally rigged!,FALSE,49855,NA,7/2/2016 21:13,FALSE,NA,749350000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,21459,FALSE,FALSE,NA,NA,1
52,It is impossible for the FBI not to recommend criminal charges against Hillary Clinton. What she did was wrong! What Bill did was stupid!,FALSE,36477,NA,7/2/2016 20:39,FALSE,NA,749342000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,13088,FALSE,FALSE,NA,NA,1
53,Thank you @greta. #ImWithYou https://t.co/SLdqNhD4Tm,FALSE,14680,NA,7/2/2016 15:33,FALSE,NA,749265000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5979,FALSE,FALSE,NA,NA,-1
54,Thank you for your support!  #AmericaFirst #LeadRight2016  https://t.co/a6f6xZNrym,FALSE,9287,NA,7/2/2016 15:32,FALSE,NA,749264000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,2985,FALSE,FALSE,NA,NA,-1
55,Thank you! #AmericaFirst https://t.co/MYG45LxGmH,FALSE,24292,NA,7/2/2016 15:23,FALSE,NA,749262000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8606,FALSE,FALSE,NA,NA,-1
56,If I become the next POTUS- they will not be ignoring! #AmericaFirst   https://t.co/97R0cQdnGI,FALSE,10165,NA,7/2/2016 15:19,FALSE,NA,749261000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4098,FALSE,FALSE,NA,NA,-1
57,Crooked Hillary -- Makes History!   #ImWithYou #AmericaFirst https://t.co/PKQhYhMmIX,FALSE,25550,NA,7/2/2016 15:19,FALSE,NA,749261000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,11182,FALSE,FALSE,NA,NA,-1
58,The #2A to our Constitution is clear. The right of the people to keep &amp; bear Arms shall not be infringed upon. https://t.co/sqe12D0MBJ,FALSE,25881,NA,7/2/2016 13:55,FALSE,NA,749240000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,10335,FALSE,FALSE,NA,NA,-1
59,#AmericaFirst #ImWithYou https://t.co/iEcnnlJ728,FALSE,16615,NA,7/2/2016 13:45,FALSE,NA,749238000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5981,FALSE,FALSE,NA,NA,-1
60,The speakers slots at the Republican Convention are totally filled; with a long waiting list of those that want to speak - Wednesday release,FALSE,14744,NA,7/2/2016 11:55,FALSE,NA,749210000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,4657,FALSE,FALSE,NA,NA,1
61,"Just read in the failing @nytimes that I was not aware ""the event had to be held in Cleveland"" - a total lie. These people are sick!",FALSE,13110,NA,7/2/2016 11:48,FALSE,NA,749208000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,4071,FALSE,FALSE,NA,NA,1
62,When you can't say it - or see it -- you can't fix it. We will MAKE AMERICA SAFE AGAIN! #ImWithYou #AmericaFirst https://t.co/Vd2A747L29,FALSE,14293,NA,7/2/2016 1:29,FALSE,NA,749052000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5111,FALSE,FALSE,NA,NA,-1
63,Just returned from Colorado. Amazing crowd!,FALSE,15321,NA,7/2/2016 1:19,FALSE,NA,749050000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,3173,FALSE,FALSE,NA,NA,1
64,Thank you for inviting me to the Western Conservative Summit in Colorado! #ImWithYou #WCS16   https://t.co/lK3UW4fY2q https://t.co/QDQhRRuBbG,FALSE,13563,NA,7/1/2016 19:47,FALSE,NA,748966000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4110,FALSE,FALSE,NA,NA,-1
65,Thank you for your support! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/ravfFT5UBE,FALSE,26297,NA,7/1/2016 17:07,FALSE,NA,748926000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8108,FALSE,FALSE,NA,NA,-1
66,These crimes won't be happening if I'm elected POTUS. Killer should have never been here. #AmericaFirst   https://t.co/XDGKaj0ico,FALSE,14882,NA,7/1/2016 16:43,FALSE,NA,748920000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7063,FALSE,FALSE,NA,NA,-1
67,Yet another terrorist attack today in Israel -- a father; shot at by a Palestinian terrorist; was killed while:  https://t.co/Cv1HzKVbiT,FALSE,9631,NA,7/1/2016 15:51,FALSE,NA,748907000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4242,FALSE,FALSE,NA,NA,-1
68,Horrible killing of a 13 year old American girl at her home in Israel by a Palestinian terrorist. We must get tough. https://t.co/zauQ6kb9Hj,FALSE,13916,NA,7/1/2016 13:32,FALSE,NA,748872000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5598,FALSE,FALSE,NA,NA,-1
69,.@TraceAdkins great job on FOX this morning. Keep up the good work!,FALSE,10484,NA,7/1/2016 13:24,FALSE,NA,748870000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,2563,FALSE,FALSE,NA,NA,-1
70,Take a look at what happened w/ Bill Clinton. The system is totally rigged. Does anybody really believe that meeting was just a coincidence?,FALSE,27782,NA,7/1/2016 12:12,FALSE,NA,748852000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,10870,FALSE,FALSE,NA,NA,-1
71,Bill Clinton's meeting was a total secret. Nobody was to know about it but he was caught by a local reporter.,FALSE,20547,NA,7/1/2016 12:12,FALSE,NA,748852000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7996,FALSE,FALSE,NA,NA,-1
72,As Bernie Sanders said; Hillary Clinton has bad judgement. Bill's meeting was probably initiated and demanded by Hillary!,FALSE,18527,NA,7/1/2016 12:11,FALSE,NA,748852000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,6066,FALSE,FALSE,NA,NA,-1
73,I will be interviewed by @SeanHannity tonight at 10pm on FOX! Enjoy!,FALSE,11265,NA,6/30/2016 22:41,FALSE,NA,748648000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3040,FALSE,FALSE,NA,NA,-1
74,The reason I put up approximately $50 million for my successful primary campaign is very simple; I want to MAKE AMERICA GREAT AGAIN!,FALSE,27277,NA,6/30/2016 19:30,FALSE,NA,748600000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8544,FALSE,FALSE,NA,NA,-1
75,I have self funded my winning primary campaign with an approx. $50 million loan. I have totally terminated the loan!,FALSE,18756,NA,6/30/2016 19:30,FALSE,NA,748600000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5069,FALSE,FALSE,NA,NA,-1
76,The very dishonest @NBCNews refuses to accept the fact that I have forgiven my $50 million loan to my campaign. Done deal!,FALSE,16694,NA,6/30/2016 19:29,FALSE,NA,748599000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5376,FALSE,FALSE,NA,NA,-1
77,One of the reasons Hillary hid her emails was so the public wouldn't see how she got rich- selling out America.   https://t.co/mO9QrmYXRD,FALSE,17450,NA,6/30/2016 19:28,FALSE,NA,748599000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7935,FALSE,FALSE,NA,NA,-1
78,Why would college graduates want Crooked Hillary as their President? She will destroy them!   https://t.co/S80xxdeHfG,FALSE,12241,NA,6/30/2016 18:53,FALSE,NA,748590000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5104,FALSE,FALSE,NA,NA,-1
79,For reasons only they can explain; the @USChamber wants to continue our bad trade deals rather than renegotiating and making them better.,FALSE,15425,NA,6/30/2016 2:39,FALSE,NA,748345000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5495,FALSE,FALSE,NA,NA,1
80,Tremendous day in Massachusetts and Maine. Thank you to everyone for making it so special!,FALSE,14201,NA,6/30/2016 2:30,FALSE,NA,748343000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,3379,FALSE,FALSE,NA,NA,1
81,"""@Gengm7: @jakeda @realDonaldTrump As of April this year; Hillary had spent $264;000;000 on her campaign Mr.Trump $55;000;000. self funding""",FALSE,16602,NA,6/30/2016 1:46,FALSE,NA,748332000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,6002,FALSE,FALSE,NA,NA,1
82,I will be on @oreillyfactor at 8:00 P.M. Enjoy!,FALSE,10413,NA,6/29/2016 22:57,FALSE,NA,748289000000000000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,2462,FALSE,FALSE,NA,NA,1
83,ISIS exploded on Hillary Clinton's watch- she's done nothing about it and never will. Not capable!,FALSE,26993,NA,6/29/2016 18:21,FALSE,NA,748220000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,10211,FALSE,FALSE,NA,NA,-1
84,Will be in Bangor; Maine today! Join me- 4pmE at the Cross Insurance Center! https://t.co/y4n4nERPFr https://t.co/7LAPewxE05,FALSE,9722,NA,6/29/2016 14:48,FALSE,NA,748166000000000000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,2777,FALSE,FALSE,NA,NA,-1
